email_subject,email_text
Superbowl Party and Fish Fry ,"""
Super Bowl Party!

When:		Feb 3rd at 3pm, the game starts at 5pm
Where:	16319 Hickory Point Rd

What:		Bring something to drink and optionally your favorite dip

Fish, Potato Salad and Fun in abundance.


The perfect combination will take place on Feb 3rd at the Bledsoe residence.  We are combining a Fish Fry with the big game.  Due to the fantastic fishing the past few months the freezer is full of Trout and Redfish and it's time to make some room for the excellent fishing coming up in the next few months.  Please RSVP via email or call 281-855-4252 so we have an idea of how much fish to cook.  

https://www.barnesandnoble.com/?irclickid=yJxztbRhsxyPW540IwzBs0hOUkHUdJSVrUv4yw0&sharedid=&irpid=3426829&irgwc=1

Looking forward to seeing everyone and having fun with the football and commercials!



Mike Bledsoe
FSG Regional Manager - Mavericks
"""
Outta here ,"Hey Richard,
I got nailed on Friday and will be working out of my home. Belden has both copies of the CD ROM. I mentioned that you would be getting in touch with him to have him send it to you, assuming you are still with the company. Let me know what's up with you.

EM"
 ,"Kenron's business is to create value and opportunity
for its senior management. We 
do this by combining our employees' personal financial
resources and restricting the 
flow of information to the market  to create
innovative accountancy solutions to 
challenge the US financial regulations. We are best
known for our lack of respect 
and truthfulness and single minded ambition to stray
from our core competencies of 
natural gas and electricity products into all kinds of
unprofitable markets and hair 
brained ventures. 

Today we offer vast diversified product range, 
including office space in many major 
US and European cities, second hand computer
equipment, and useless IT Helpdesk 
promotional gimmickry. In fact we have the largest
stock of nearly new Compaq and 
Sun computers in the world. These products give
customers the flexibility they need 
to lose all their money and achieve into the highly
sought after status of suing our ass 
in a class action. 

It's difficult to define Kenron in a sentence, but our
senior executives have been 
described as ""incompetent"", ""arrogant"" and "" a bunch
of thieving bustards"" by many 
top tier financial institutions. We falsify commodity
markets so that we can deliver 
physical commodities to our customers at a
ridiculously unsustainable price. It's 
difficult, too, to talk about Kenron without using the
word ""screwed."" Most of the things 
we do have never been done before, like going from a
market capitalisation of 
nearly $90 billion to $199 in the space of a year!!!!
We believe in the economic 
benefits of secret, underhanded insider trading, and
we play a leading role in ripping 
off our investors. We initiated the  wholesale
bandwidth markets in the United States, 
and we are helping to build similar markets in Europe
and elsewhere. Shame we 
lost billions in doing so :-( 

Every day we strive to hype up our share price to
unrealistic highs, with the sole 
purpose of suckering the investor community and lining
our own pockets. Our passion 
has enabled us to completely mismanage risk. No wonder
Misfortune Magazine 
surveys have named Kenron the most innovative company
in America for six years in 
a row. Our emloyees think Kenron is such a wonderful
place to work, thousands are 
leaving every day to spread the word around the world.


Knron's four business units  Wholesale Services,
Energy Services, Broadband 
Services and Transportation Services  ARE NOW
CLOSED. 


"
 Larry Burton Openings ,"Richard,

here are the openings I am working on.  All will be out of town, I think. If you are not in a position to relo at this time, I would appreciate any referrals you might have and the home contact information on each since I know most will be leaving the building today.  Thanks.

Larry 

 
1.  Senior Transportation and Storage Analyst:
 
Must possess a minimum of 5 yrs. related experience in field with in depth understanding of the intricacies of storage and transportation in the Gulf Coast up to the NE (Eastern Canadian markets a plus) 
  a.. Negotiate and manage short-and long-term natural gas storage transactions 
  b.. Develop hedging strategies, forecast models, and provide trader support
  a.. Develop new business strategies, in conjunction with Risk Management and trading desks 
  b.. Supervise interstate regulatory issues for pipelines and storage providers 
  c.. Must be a confident communicator 
  d.. Must be able to demonstrate high levels of customer service while maintaining profitability. 
  e.. Must be able to analyze multiple factors influencing energy pricing and capture opportunities between locations 
  f.. Must be a team player with an individual drive 
  g.. Must be detail oriented and a self-starter
 

REQUIREMENTS:  BA/BS in Finance, Economics, Statistics or a related field strongly desired.  Minimum of 3-5 years practical experience required.  MS Office applications including Word and   Excel required. 

 

2. Director of Procurement position with the following responsibilities:


 ? Participate in the development, implementation, and maintenance of innovative electric and natural gas service structures in support of gas and electricity sourcing activities.

 ? Participate in the development, implementation, and maintenance of innovative electric and natural gas service structures in support of gas and electricity sourcing activities.

? Have the ability to understand and utilize electric and natural gas pricing models, and to utilize risk management techniques to analyze energy product offerings and to minimize risk.
 
? Work closely with EIS, RSG, PQ, FSG, Sales groups, and other groups to assist in the design, structure, and development of retail electricity and natural gas services.
 
? Possess detailed knowledge of transportation, pools, tariffs, LDC's, markets, electric and gas regulation activities, marketing activities, and emerging power marketing activities 
 
 ? Develop and manage sourcing only deals.
 
? Coordinate closely with the Product marketing group to integrate energy management, reliability and information management solutions into energy service offerings.  
 
? Provide management support and leadership to a team of sourcing professionals.

3.   This position is a General Manager level position with an IPP in California ( not Calpine) and they are looking for someone with a risk background to come into the organization and build a team and develop their power options to a greater degree than currently exists.  The organization is well funded with good growth potential.  Additional details as follows:
 
. Develop a risk management strategy and system to track and manage risk.
 
. Evaluate all assets (power generation plants) and identify opportunities to increase the return on assets, company value,  and profitability.
 
. Develop a team to sell new and excess power capacity.
 
. Develop a market intelligence system to collect and produce reports on a monthly basis.  "
"NOTICE TO: All Current Enron Employees who Participate in the  Enron
 Corp. Savings Plan ","Due to an Enron programming error in the transmission of data to the Enron Corp. Savings Plan administrator, a number of currently active employees were erroneously coded with a status of terminated on the Savings Plan system.  

As a result, you may have received a notice from Hewitt Associates, the Savings Plan administrator, indicating that you were a terminated employee and providing you with options for your Savings Plan account.  This notice was sent in error, and should be disregarded.

This situation was identified and corrected.  We regret any confusion or inconvenience this may have caused. 

If you would like to verify that your Savings Plan employment status has been corrected, you may log in to the Savings Plan website through the Enron intranet () or the internetresources.hewitt.com/enron and view your status in the ""Personal Data"" option off the main log-in screen.  

If you have further questions, please contact a representative at the Benefits Service Center at 800-332-7979, option 3.


Corporate Benefits"
 New Stock Symbol ,"nron announced today that its common stock will now be traded as an Over the Counter (OTC) equity security under the symbol ""ENRNQ.""  This follows a decision by the New York Stock Exchange (NYSE) to file an application to delist Enron's common stock, which means that Enron's common stock and related securities are suspended from trading on the NYSE.  Enron is considering whether to appeal the NYSE's decision.

The NYSE has standard criteria for listing stocks, which can be found on their website at www.nyse.com.  Enron recently fell below the following listing criteria: average closing price of a security less than $1.00 over a consecutive 30 trading-day period.  Quotation service for Enron's stock will now be provided by the National Quotation Bureau, LLC ""Pink Sheets.""  "
"Coffee & Donuts, Friday 8:00 - 9:00 a.m. ","Happy New Year.  We hope your holidays were enjoyable and restful. https://www.petapixel.com/
  For a pleasant start to 2002, please join your Enron colleagues for coffee and donuts this Friday, January 11, from 8:00 - 9:00 a.m. in the lobby of the Enron Building.  We look forward to seeing you there."
 Parking Receipt for Benefit Purpose - Correction Notice ,"Please disregard Parking receipt sent January 31, 2002.  Updated receipt will be sent shortly.  

Thank You."
FW: enron ,"This is good

Mike Bledsoe
FSG Regional Manager - Mavericks

Office     713-625-9461
Fax          713-561-9980
Pager      877-461-4383
Alpha     888-BEEP-CAI
Cell         832-656-1189"
Superbowl Party and Fish Fry ,"Dick can you forward the invite to Amador and Dan since I didn't have an email address for them?  Thanks

Mike Bledsoe"
thanks! ,"It was GREAT to see you today.  Thanks again for lunch.  I really enjoyed 
catching up.  Let's get together again soon.

Best -
Stacey

PS GO HOME!!!  It's 4:00 p.m."
Your Digital ID is about to expire ,"Dear RICHARD D RING,

Our record indicates that your Digital ID will
expire on 18-FEB-02.

You must use Netscape as your browser!

Please visit 
https://onsite.verisign.com/ISONewEngland/userRenewal.htm
to renew your Digital ID. 

To complete the renewal process:
You will need the Challenge Phrase you used to enroll for
your original certificate, and the following Renewal ID
Number:

Your Renewal ID number is : 832263473 

If you have any questions or problems, please contact your 
Administrator by replying to this e-mail message."
Your Digital ID is about to expire ,"Dear RICHARD RING,

Our record indicates that your Digital ID will
expire on 15-JAN-02.

You must use Netscape as your browser!

Please visit 
https://onsite.verisign.com/ISONewEngland/userRenewal.htm
to renew your Digital ID. 

To complete the renewal process:
You will need the Challenge Phrase you used to enroll for
your original certificate, and the following Renewal ID
Number:

Your Renewal ID number is : 893963251 

If you have any questions or problems, please contact your 
Administrator by replying to this e-mail message."
 Move Location to 6 in Old Enron Building (ECN) ,"Richard, Rick, and Paul:

Can you please go scope out a spot on 6 in ECN as soon as possible (today).  Please notify Tina Holcombe of the location so that she can designate for the upcoming churn (computer and telephone move). Once on ECN6 Deb will work to finalize a permanent floor plan.

Deb - Richard is out today.  Could you please locate a spot for him and notify Tina.  Deb - also, if Liqun Pan, Oliver Jones and others have already moved to ECN 6 and still have phone lines and computers in ECS 5 you may want to forward their info (locations - old and present) so that they can be included on this churn as well. 

Thanks everyone,
Rogers  "
CEC Reporting Information ,"Richard attached is the CEC reporting infomation for Nov. 01.  Once you have put the purchase information in would you please save the entire work sheets to report under the applicable file word document.  I am going to keep a Monthly folder of all of the CEC reporting.  
   
I have also set up an excel folder with the backup for the sales if you would like to view that before filing.  If you have any questions please feel free to contact me at X5_3091

Pam"
NYISO_Comparison ,"Jay here is the comparison(s) you asked for.  Please note that November is not completed however, I contacted the NYISO to get access to the web page so that I could pull the monthly actuals.  I was told that Richard Ring could give me a userid and password to access this information.  I left a voice mail with Richard, as soon as I have access, I will complete November and forward it to you.

If you have any other questions, please feel free to contact me at 5/3091.


Pam"
December CEC Reporting ,"Here's your december numbers.  Please save in the appropriate places once completed with the purchases.

Thank you,

Pam"
 ,"I downloaded them all this morning, but forgot to send them to you.  Here are a couple of copies of different versions: "
GMAT Review available at Enron ,"GMAT REVIEW AT ENRON

The next GMAT review course at Enron will begin the week of October 15th.
Two schedules are being offered:
	Course # 7129-00:  Tuesdays, Oct 16 - Dec 11 (no class Nov 20)
	Course # 7129-01:  Thursdays, Oct 18 - Dec 13 (no class Nov 22)
PLEASE NOTE that the two schedules are not interchangeable; employees should
enroll in their preferred schedule and stick to that schedule.

Course details:
	- Class is held at Enron in room ECN560 and is restricted to Enron employees
	- Each course is limited to eight students
	- Meets once a week for eight weeks
	- Hours are 6:00-9:00 PM (first session will run til 10:00 pm to
		include initial exam)
	- Expect 4-5 hours of homework per week
	- Course includes a total of four practice GMAT exams
	- Ends the second week of December, allowing employees to take the
		GMAT in December and meet a January application deadline.
	- Special discount of $200 off the regular Princeton Review tuition
Enron has allowed this program to be hosted in the Enron Building for convenience of its employees.  Individuals are responsible for paying their own fees.  Financial support from Enron is at manager's discretion and is subject to the usual tuition reimbursement constraints around budget and relevance to organizational performance.


HOW TO ENROLL:
	1.  Print out the attached registration form.
	2.  Complete the form, but please note the following 
		SPECIFIC INSTRUCTIONS:
		A.  Fill out the student information completely, including
			your email address.
		B.  In the Enrollment section, where it says ""Please enroll
			me in GMAT Class Size-8 Course # _________"", 
			please indicate either course #7129-00 (Tuesdays) or # 7129-01 (Thursdays).  
If you wish, you may indicate one course as your first choice and the other as your second choice.
		C.  In the Payment section:  For the course at Enron, the
			tuition is discounted by $200, to $899.  
			FULL PAYMENT of this amount by credit or debit card is required on the registration form.  
			Be sure to indicate complete cardholder information.
	3.  Fax the completed form to Princeton Review at (713) 688-4746.

Faxes are time-stamped by the receiving fax machine at Princeton Review.
The first eight valid registration forms received for each course will be honored.  
Registrations received after the first eight will be placed on awaiting list for the course or courses indicated.
Enrollments and waitlists will be confirmed by email.

Employees who are not able to take the course at Enron can take a course at
the Princeton Review office at the same $200 discount.  
The next courses at the Princeton Review office start the week of October 20.  
Call (800)2REVIEW to register or for future schedules.

IMPORTANCE OF THE GMAT:
	The GMAT score is a critical part of your application to business
school.  Indeed, in many cases, it is the single most decisive statistic
that admissions offices use in evaluating applicants.  While work
experience, GPA, essays, and interviews are all important components of your
application, the GMAT is the one objective factor that you can substantially
improve in a short period of time.

THE TEXAS MBA TOUR:
	All interested Enron employees are invited to attend the Texas MBA
Tour, which will be in Houston on Wednesday, January 23. The Texas MBA Tour,
of which The Princeton Review is a partner, is a group of six business
schools that host a joint MBA panel discussion and admissions fair.  The
participating schools are Texas, Rice, SMU, Baylor, TCU, and Texas A&M.  The
Princeton Review has agreed to handle registration for the event, so call
(800) 2REVIEW to register."
 NEW! Enron Energy Analyzer ,"Enron Energy Analyzer
 Unnecessary-or inefficient energy use eats into the bottom line. 
But companies can't cut out the waste until they understand where and why it's happening. 
Enron Energy Analyzer is a service that lets companies view, analyze and 
compare online energy demand, usage, weather conditions and other 
energy-related information, across individual facilities and equipment, and company-wide 
as well. Energy Analyzer also allows benchmarking of energy performance 
versus comparable facilities and equipment.  To learn more, click here. "
 ,"Our company number is 1596,cost center is 150256. Your EID# is in your eHRonline website. Each employee has their own EID# its used for ordering equipment, supplies, pagers, etc. If you have an invoice you need to give them your EID# for (POC) Point of Contact when sending to accounts payable for payment. On the eHRonline website under profile click on other on the right side should state External ID thats your EID#.

Thanks,
Kathy  "
 ,"Kathy,

Do you know what our Cost Center and EID Number(s) are?

Thanks,

Richard"
 ,"This is pretty good! It's safe.  
 
Zman
 "
Your Digital ID is about to expire ,"Dear RICHARD D RING,

Our record indicates that your Digital ID will
expire on 09-SEP-01.

You must use Netscape as your browser!

Please visit 
https://onsite.verisign.com/ISONewEngland/userRenewal.htm
to renew your Digital ID. 

To complete the renewal process:
You will need the Challenge Phrase you used to enroll for
your original certificate, and the following Renewal ID
Number:

Your Renewal ID number is : 814657481 

If you have any questions or problems, please contact your 
Administrator by replying to this e-mail message."
 Digital ID request confirmation ,"Dear RICHARD D RING, 

Your administrator is processing your Digital Certificate.
You'll be notified when the certificate is ready to download.

If you have questions about your application, please contact 
your Administrator by replying to this e-mail message."
IT Update: security of Revenue-Producing Systems ,"In our continuing effort to provide security and stability to the revenue-producing systems here at EES, we would like to ask for your assistance with a few items.  In general, we want to ensure that all business critical systems are clear from the risk of downtime, which could negatively impact the business.

So, what does this mean to you?  We need to make sure that any computer programs and files you use to do your job are protected and reside in an environment that is controlled by the IT infrastructure group.  This serves several purposes, including:

Ensuring that everything business critical is backed up properly and can be recovered if a workstation's hard drive fails.
Ensuring that specialized programs like Cobra or BSOC or RPS or RGS which are business critical can easily be installed on any workstation by the IT group.  This will help keep the business up and running if you have to switch workstations suddenly.

Specialized applications - If you use any special program to do your work, such as WinAT or some other database, analysis, or special utility tool, the IT infrastructure group should be made aware of it so that they can learn how to install and maintain it.  This way, if an elephant sneaks into the office one night and steps on your computer, we can build out another workstation, install the specialized programs on it for you, and deliver it to you so that you can continue to do your job.  Please contact Christine Nguyen at (713) 345-8459 if you think your computer application is not currently maintained by IT.

Files: Spreadsheets, Excel macros, MS Access databases, and the like - Please make sure that any spreadsheets or MS Access databases you use for the business are not stored on your local computer drives.  These files should be stored on a network-shared drive (in general, something other than C or D drive).  That way, if that elephant comes back another night, we could get you another workstation from which to operate without losing any of your valuable work.

Web sites - If you are responsible for maintaining a web site that is business critical, including those used by inside as well as outside customers, we need to make sure that this web site is hosted on one of the fault-tolerant redundant web servers provided by IT infrastructure, and not running on a laptop tucked away under your desk.  This will help keep the web site available to those who need it in the event of power outages, server failures, and other unforeseen hardware-related problems.  Please contact Larry Hack at (713) 345-5783 if you think your web site is not currently maintained by IT.

Your support with this effort is greatly appreciated."
Contact Info ,"Richard, thanks for taking the time to network with me.  I have attached
information about my Partner Lynn Brondos and me; Also, please find a
position description.  

 <<Product Risk Managment.doc>> 

Francisco Rivera, CPC

RWS PERSONNEL, INC.
Power Industry Executive Search
700 Ackerman Rd, Suite 390
Columbus, OH 43215
tele 614.358.1594
"
 ,"Black dot is what I would need.  The two concerns I have is shaft flex (I would actually prefer steel shafts) and the price (I'm broke).  I appreciate your willingness to work with me but even though your price is fair, I simply can't afford it.  Let me know how much you would be willing to come off but I have to warn you even if you ask $600 it would be hard for me to come up with.
Thanks again for keeping me in mind.
Drew"
Riverside Contract Status ,"I have not had a chance to get to it.   I am sorry.  Maybe on Friday.

C"
Lay It On the Line Survey Results ,"Recently, I asked you to ""Lay It On the Line"" and tell me what you believe are the most critical issues that we need to address.  Many of you responded, and I want to share the survey results with you.  Additionally, I want to share with you the things we are currently doing or plan to do to move Enron forward.

First, let's take a look at the survey results.

In just three days, more than 4,000 employees completed the survey.  I sincerely appreciate your participation.

I.  We asked you to identify the top five issues facing Enron today.  The responses were:

1.	Stock price
2.	The PRC
3.	Employee/internal morale
4.	External reputation and image
5.	""Walking the talk"" of integrity and respect


II.  We asked you general questions about working at Enron, comparing 2001 to 2000.


	% of employees responding
	strongly agree/agree:
I am committed to staying at Enron.	64.1%
Enron is a company I would invest my money in.	60.1%
I am treated with respect.	60.0%
I would recommend Enron as a place to work for friends and family.	59.1%
I have talents and skills that Enron is not fully utilizing.	54.7%
Enron truly encourages people to take risks.	47.5%
My immediate supervisor has a clear view of where Enron is going and how to get there.	46.6%
Executive management has a clear view of where Enron is going and how to get there.	41.6%

III.  We asked you to what extent you would associate the following attributes to Enron, comparing 2001 to 2000.


	More	Same	Less	N/A	
Concerned for communities	34.5%	44.9%	10.3%	10.3%	
Innovative	30.8%	35.7%	24.6%	8.9%	
Entrepreneurial	28.5%	37.8%	23.7%	10.0%	
Ethical	17.0%	45.1%	28.1%	9.8%	
Trustworthy	14.9%	39.0%	36.9%	9.2%	
Arrogant	39.1%	32.4%	13.3%	15.2%	
Self-serving	41.9%	38.6%	7.5%	12.0%	



IV.  Finally, we asked you to identify the top three things you like about working at Enron.

1.	People (the high quality of people at Enron was the most widely-cited aspect):
-	talented
-	creative
-     learn from one another
2.	Culture and reputation:
-	innovative spirit
-   willingness to be aggressive and take risks
-   ability to embrace change
-   involvement in community
3.	Work environment:
-	pay and benefits
-   true meritocracy
-   unlimited opportunities



The results of our survey confirmed for the Management Committee and me the great things you feel about Enron and also what you see as the issues we must address to move Enron forward.  The following are some of the things we're doing now or going to do in the next few days and weeks to address the top five issues you identified.  Keep in mind this is only the beginning of an ongoing effort to address your concerns and engage your feedback.

Now, here's what we're going to do based on your feedback.

STOCK PRICE

We are all concerned about our stock price, which has declined significantly this year.  The primary reasons for the sharp decline from our highs earlier this year include:
-	A decline in the overall market and economy;
-   Certain Enron-specific issues, such as California, India and recent management turnover;
-   A ""meltdown"" in the broadband sector, which may have been as much as $30-$40 of our stock price at the high;
-   Lower energy commodity prices and volatility relative to last winter's high; and
-   Concerns over the pace of energy deregulation.

These concerns mask the strong underlying recurring earnings growth in our transportation and distribution, wholesale and retail businesses.  Very few companies have demonstrated the earnings growth, and future earnings growth, as has Enron.  We fundamentally believe that if we focus on continued earnings growth and reestablishing the confidence of our financial investors, our stock price will reflect the value these businesses deserve.

	Over the past month, we have met with all of our major institutional shareholders and all of our analysts, reviewing the strong prospects in each of our businesses.
-	We have also committed to provide more segmented information about our business units and how we operate so that analysts have a better understanding of our businesses and how we make money.
We also want to make sure that employees know what we are doing going forward:
-	Mark Koenig, executive vice president of Investor Relations, will host Brown Bag sessions with groups of employees to discuss stock price issues and answer questions.  He will also continue to host eSpeak sessions to answer employee questions.
- Greg Whalley, Mark Frevert and I will also hold discussions with various groups of employees, which will be taped and made available to employees worldwide.  Watch for these events.

THE PRC

The relative discussion of talent is absolutely critical to maintain our business and our meritocracy.  Understanding which employees have demonstrated the greatest contribution and behaviors, which individuals should be given greater responsibility and leadership, and identifying our top and bottom talent are essential to achieve our business objectives.  Nevertheless, we recognize that certain aspects of the PRC may have caused some of you concern, and we believe we can improve, refine, streamline and better clarify the process objectives for everyone.

Therefore, we will make the following changes to the PRC process prior to year-end:
-	Effective immediately, relative performance discussions will occur annually at year-end.  However, business units will have the flexibility to determine if they need to have those discussions more frequently.
-    The current preferred distribution will no longer be required across Enron.  Business units will be asked to identify only their top 10% and bottom 10% performers for review by Enron's Office of the Chairman annually at year-end.
-   We will continue to use the PEP 360 degree feedback system as input into performance feedback once a year for all employees.  We will also reinforce to all supervisory employees the absolute necessity of continual communication and feedback to their direct reports throughout the year.
-   Finally, we have formed an employee task force that will give us feedback on future changes.

In the November issue of Enron Business, we will feature the first in a series of articles discussing our performance evaluation process.  In addition, there will be other communication and training that will occur prior to year-end.

EMPLOYEE MORALE

We believe the stock price, our external reputation and the performance review process have all affected morale.  Additionally, some employees have indicated they do not feel that they have a place to go to voice their ideas and concerns.  Effective immediately, we will provide an additional resource for employees who do not currently feel comfortable going to either their supervisor or their Human Resources (HR) rep.
-	We are establishing a new business function we are calling Employee Relations (ER) that will report directly to the Office of the Chairman.  Cindy Olson will head this function.  More details of how this group and HR will operate will be communicated in the next few days.
Over the long term, we want our managers to address employee issues and concerns and therefore are providing the following leadership training for those with supervisory roles.
-	We will encourage vice presidents and above, as well as other current and emerging leaders, to complete Executive Impact & Influence training.  These sessions are designed to improve leadership skills such as coaching and effective communication that have a direct impact on performance and managing people.
-	Additionally, we will encourage every employee with supervisory responsibilities to complete online communications training via Communicate!, which will be rolled out immediately.  Communicate! is an interactive training course that uses Enron scenarios and a combination of video, voice mails, e-mails and meetings notes, to analyze user performance based on a participant's responses and actions.

EXTERNAL REPUTATION

We all recognize that our external reputation has suffered this year.  The single most important factor that influences our reputation is our actions - how we act and how we communicate those actions as a company and as individual employees.  We recognize that as Enron's ambassador's in the marketplace, the more you know about our strategy, performance and challenges, the more you can help disseminate accurate information about our company.  To ensure you are better informed:
-	We will do a better job providing you with timely information about issues affecting Enron.  In addition to our existing communication efforts, like e-mail messages and internal publications eBiz and Enron Business, we will post a Q&A on current issues on the Enron intranet at home.enron.com <http://home.enron.com>.  This will give us a consistent message across the organization and will equip you with information when talking to your customers.
- As we said before, Greg, Mark and I, as well as members of our Management Committee, will meet with groups of employees across Enron to hear your thoughts and share with you our business direction and challenges.  Look for these to start in mid-October.

INTEGRITY & RESPECT

I believe, as I said previously, we need to reinforce our core values, particularly integrity and respect.  From what you have told us in this survey, you agree.
-	Enron's values will have more importance in each employee's evaluation and feedback.  We ask that all employees, regardless of level, hold themselves accountable for the way they interact with people on a daily basis.  We are all responsible for how we treat our coworkers and customers.
-	We will also conduct employee focus groups on a frequent basis to gather additional, specific feedback on employee issues like ethics, integrity and individual concerns.  If you would like to participate in these focus groups, please send an e-mail to Cindy Olson.
-   Periodically, I will host a special feature column in Enron Business to keep you informed of the action steps we are taking and their results.

Finally, I give you my commitment that we will do a better job giving you more information regarding Enron's strategy and challenges, and listening to your concerns and ideas.  But we would ask for your commitment, too.  We need your dedication to Enron and its values, as it is only through your commitment that we will achieve long-term success.  We will conduct another employee survey early next year.  Please continue to send me your feedback and let's continue to work together and keep Enron one of the best places to work in the world."
