email_subject,email_text
Email Account Upgrade,"""Dear User,

Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser.

Date and Time: 28 October 2016, 1:38 PM
Browser: Firefox
Operating System: Windows
Location: Thailand


If the information above looks familiar, you can disregard this email.
If you have not recently and believe someone may be trying to access your account, you should Click Here <http://goo.gl/rk87KW>.""

"
Irregular Activity,"From: Bank Of America
Subject: Activity
Date: 10/20/2016 7:27 AM

We have detected activity on your account on the date 10/20/2016. For your protection, we have temporary limited your account.
In order to regain full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment , open it and follow the steps to verify your account. Once completed, please allow up to 48h to update.

corporacionrossenditotours.com


Copyright © 2016 Bank Of America, All rights reserve

IrregularActivityFile.html"
Messages containing Locky malware,"Hello,

Please sign the attached contract with our technical service company for 2016 ð 2017.
We would appreciate your quick response.

http://drive-google-com.fanalav.com/6a7ec96d6a4b8b887e9f9ace81b40a99/"
Messages containing Locky malware,"Hi,

The monthly financial statement is attached within the email.
Please review it before processing.

detkreimeier-fotografie.de"
Vital Info,"Hello,Ê Please refer to the vital info I've shared with you using Google Drive.Ê ClickÊ https://www.google.com/drive/docs/file0116Êand sign in to view details.."
bCourses Phish Attack,"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at sends e-mail) for immediate
assistance."
Your account has been Iimited untiI we hear from you,"your account has been suspened , as an error was detected in your informations. The reason for the error is not certain, but for secuirty reasons, we have suspended your account temporarily.

info-pages.000webhostapp.com"
RE: Notice from @rescue.org,"Hello Everyone,
 
  There will be additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.
myptccash.com"
Last Reminder You Must Update Your Apple Account Information!,"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?
citiprepaid salarysea at.tk


When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support
http://www.smc-images.co.uk/images/index_hvoda_2311_10.html"
Help Desk‰ÛÜ Notice.,"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
‰ÛÜ
Help Desk‰ÛÜ appieid-enable.com"
Google Docs Download,"You have a pending incoming download docs shared with you via Google docs
autopostoajax.com.br"
2015 W-2 statement,"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.
muhanovabeauty.ru"
Your access has been disabled,"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account. rcarpe95.beget.tech"
Dear Email User,"Your password will expire in 2 days, Click Here
to re-change your password immediately.
http://fb.com.accounts.login.userid.343441.fbsbk.com/"
Help Desk / Password Update,Password will expire in 2 days ÊClick HereÊTo Validate E-mail titaniumcorporate.co.za
Record Update,"This is an urgent request to update your employment record at the U.S Department of Labor.

Update sydsarthaus.com
"
Important Update,"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.
http://icomtec.com.my/westpac.au/login.westpac.au/update.billing/information/westpac.au/index.html"
DHL EXPRESS DOCUMENT,"Your parcel (shipping document) arrived at the post office. Here is your Shipping invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.
http://www.afugowe.com"
IMPORTANT TAX RETURN DOCUMENT AVAILABLE,"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link: ammmmazonm.temp.swtest.ru


Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions."
"Re:
X- PHP Originating Script: 1336:NPS.php","Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1.  http://auth.berkeley.eduh.in/


Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--"
Your account on the verge of closure !!,"Dear Client, Recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager. http://www.naylorantiques.com/d0y_qx_6_l_6hqo_ewkbketxbu1u7oy10gmkyfrgwnm8llrdhlxcps_ale1_d9b6mij__8tja_b1t__hke2i6dv4xmv0f1fr24/i5_mlqfp_znd5_khgrrgbwjyv__q6gz1yve5hq7agfj3o_pt8awujg9vuy1__d7hqr8yt42n__luu_hep_1et_dlku4_0f1_5_o/QDCHOZ0LZW.php"
ÊURGENT: Your New Salary Notification,"Hello, You have an important email from the Human Resources Department with regards to your December 2015 Paycheck

This email is enclosed in the Marquette University secure network, hence access it below

Access the documents here http://gabrielramon.be/http://pastehtml.com/view/b2i243gkw.html


***Ensure your login credentials are correct to avoid cancellations"
REQUEST,"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it. info-online-account.net"
Lesson Coach Needed,Some hiring stuffs for coach http://www.ksra.ca/form/use/verify/form1.html
"Caller from Kent Admin on 16 July, 2019",call missed nihahaw5.beget.tech
REPLY AS SOON AS POSSIBLE,"Bank, important matter to discuss with late client who is dead. Asking for full detail information waterviewdistillery.com"
V M 123310719,"call missed prodenk-sanierung.de
"
inviting you to collaborate on filess,"some shred document checkstorenow.ml
"
VM Message attached,"call missed diego-fc.com
idservicetelsmsmmssfr.000webhostapp.com"
ÊVerification Process.,"account verification, microsoft account in kent bursakombiservisi.web.tr"
Audio received,audio http://www.lappiramis.hu/wordpress/wp-content/themes/twentyeleven/inc/images/index.htm
I AM ASKING FOR YOUR SUPPORT.,"Someone lost lifr in Libyan civil war. Help kin bursakombiservisi.web.tr

 "
"shared ""DOCX"" with you.","shared docx http://www.lappiramis.hu/wordpress/wp-content/themes/twentyeleven/inc/images/index.htm


 "
File has been damaged,"shared docx starpacintl.com



 "
Kent-Outlook E-Ticket: #JKf1SB3YW5 for @k****edu.,"confirm with microsift, account http://www.hippapi.org/test/itunes.login/WebObjects/iTunesConnect.html"
Faculty ,faculty evaluation http://habbomoedasgeraa.blogspot.com/
Missed Call,"called missed inobediencetohim.com.au

"
TESTi1,"english speaking editor, professional guide, correcting http://habbomoedasgeraa.blogspot.com/

"
ÊClustered Alert ID 130423046,some pending message sixgoody.com
Approved Job Offer,selected for shadow shopper review account-security-centre20181712.000webhostapp.com
"Agriculture Department shared ""Document"" with you.",internal dept shared document scr-paypal.co.uk
Advertise While Driving Your Car,job opportuniies and looking for candidate: http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify9.eu-id3.net/identify-customer=7gqIFbqj8arzSIQO5462DGWSCYDxgFcMXV0VVmRocB9YDXSVIl1eZXQ59t7hONf6Cy0nMNK3AXoC9tBGK0a7HH4hMrD16GBsW593/
Payroll Changes made was successful,chnages in payroll information scr-paypal.co.uk
Office 6/17/2019 11:56:18 AM,"office 465 subscription exrired and. Validation stuff
toctok.com.mx"
 Office 365 Password About To Expire,"office 465 subscription exrired and. Validation stuff
facebook.jolims.tk"
,file has been shared In docx http://www.naylorantiques.com/MRR%20Uhzs/twGEShRCGGSDAMSWUtjTUgyUIvxFqOEJwHa/
"Assalamual My Dear Friend,","politiics, legal iisues to retire , million doller to bank, profit http://pastehtml.com/view/bfzi0ah2a.html"
ÊYou have (15) notification message from your faculty admin,notification message from faculty admin
 Verification Required: Validate Service Request for Kent,email update required and confirm now
"Account Activity Request on 13 June, 2019",ms account activation and validation 
Audio_Message from ext. 4783,audio
kent.edu Email Deactivation Request,made request to deactivate your account 
ÊMissed Call,caller left a message for you
I BRING CALVARY GREETNG FROM MRS.SUZAN BONI.,money for cancer diagnosied
please update ppayment,"update payment  and payment declined, "
Work Code of Conduct,work conduct for employee in an institution
Incoming Email issues,email issues from office 365
ÊYour PayPal Payment Receipt of $649.99 to **MCAFEE LLC,"statement of payment , transaction details and log into PayPal account  "
Pet Sitter Needed,"I need someone to look after my pet, $350 weekly"
lncoming emails rejected,offi e 365 was unable to deliver 
Update ID: Review Message,need to validate account 
We Need Your Confirmation,fund in office that we like to make some clarification
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. 
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared
Employment Opportunity,"personal assistant, employment opportunity"
Puppy Sitter:,need puppy sitter 
Payment receipt,remittance advice for payment 
Êbusiness,deal and interest in business
SCAN5655,shared file
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed
ÊFW: Action Required: Update your payment information now,payment declined for office 365
Due Invoice 10355697 From Cortland Line Company,"file shared about invoices , financial"
Help,"donating, lottery winner"
KSU Email Notification,email notification regarding fedaral law violation and identity and verification
"ÊDear Web-mail User,","remail pending for database upgrade, validate emial account"
Remittance Payment Advice,attched payment details
Nancy Smith is inviting you to collaborate on Project Docs,Project docs
Project LR342 Quote Request,"project work share, collaboration"
ÊPet Sitter Job,job pet sitter
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate"
(1) Your account has been limited. ID: #R5131 6D9R406MH,office account has limited for payment failing
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account
Message - Time 0:55 Seconds,ausio attached with link
ÊKent Admin #O38A3S#,mandatory account review process
Invoice for Service,invoiced for completed work
P_nd_ng Document,onedrive pending doc
Ê[IMPORTANCE] Login Review Required On Kent Email Account,verify password for login interruption
ÊPaperWorks,document sharepoint
"Kent Request Created on 23 April, 2019 ID: #5KGI6T#","Due to request, you created ID, we need to validate "
RE: You're about to lose access to your Office subscription,subscription offcie 365
(1) Failed to process your Credit Card,credir card process failure
Easiest way to claim $1000?,clain money by watching videos
The Dwyer Group N0TlFlCATl0N,shared document
"ÊJason Downing shared ""Proposal_(1)"" with you.",doc shared
"Kent Service U_d_t_ 15 April, 2019 RefID:XYO2OH",validating account
ÊKent Request Created,validating email account
NEED URGENT QUOTE,cargo need to shio from your country to china asap
Payroll,attached document for payroll
ÊCoaching service,coaching service available 
MESSAGE ALERT,doc and audio 
A document has been sent to you via eÄ_x Online,Document sent online
ÊInitial Closing Disclosure - Escrow #7258300 / 3061 Vaughn Street,encrypted message
Server Notification for Kent Alert,server detect undelivered emals. Malfucntions and termination
message notification,pdf 
"[IMPORTANCE] Password Confirmation Required On kent.edu April 5, 2019, 7:29 PM Report Refrence Acc ID :35878U9LC8","one time confirmation, avoid login interruption, password verification"
ÊMarch Statement - Kent,payroll has been submitteed. 
ÊRE: Your Office 365 Business Essentials Bill is ready,"office365 is ready. Payment, credit card"
[Important] Login Review On Kent Users,microsoft password review
New Fax Message Fax. com Report[11],find attachment
Coaching Inquiry,coaching my son
Job,resume attached
From The Desk Of Mr William C.Dudley,"federal reserve bank, record of outstanding payment with federal government, "
New fax from: Fax Service....,new fax
ÊMake Kent State Home,message
3/26 *** Due,pdf file
Kennard is inviting you to collaborate on Past Due Invoice 100219,invoice due
"ÊI'M SORRY, Apology insideÉ","internet business, access"
Re: Office 365 - Check Your Account before is be deleted,offcie 365 essentials is ready
PO #0210-,Here is the purchase order in relation to client request
ÊRE: QUOTE STATEMENT,Please confirm if quoting is available for statement below
"Here's a way to ""earn while you learn","ttrade stocks , supplement income"
ÊPreliminary CD Package Has Been Generated,Your documents s can be retrieved at
Audio Received From,ms voice audio
Instant Action Requested From You,You have the spot reserved but we need you to complete your activation now
ÊYou've 2 Voicemail,voice message for you
Regarding Job,job possition apply
Ref:,most of your incoming email due to your mail session expiration 
no subject,You received VM from
"Good day,",na
(Your Requested Username for jobs.kent.edu),your requested username for jons.kent
Your February account statement is available.,account statement available
Opcuanet - (Annual Conference Topic Suggestions),doc link
ÊIntuit Support: Action Required,Your bank retuned the direct deposit for the payroll
ÊCc: (RE: Workshop at John Carroll University this Saturday),link for email opning
ATC/PTA Program,see attached below
message notification,one drive 
Lesson Coach Needed,looking for hiring coach
INVOICE#89774 DOC,one drive message
Re: Correct shipment info needed.,"package, delivery address, seems incorrect"
Action required: Confirm your info to keep a PayPal Balance,paymal money sending issue
You have new Google Drive Doc message,shared document
Your Earning For March 2019.,payroll earning statement for direct deposit available
1KH0 613FV1 USA,cancel surgery
Call Delivery note from Trusted Source,new voice 
View Secure PDF,has sent you your important http://bank0famerica-com.z2.newmail.ru/secure_membin_BankOfAmeri_caemail_id43432gjg98987ihgwq72k9878e.htm?securelogin=yes?ssl_encryptlink=yes&amp;source=Bank Of AmericaEMAILdefaultaspx?refererident=341348B3767313d1683678CADD124HJ8S748FGHHJC1AjkCB&amp;cookieid=43562714&amp;nocachelocal
ÊListen to Voicenote,voicemessage notification http://greenranca.ro/music/remax/remax/index.htm
Terms of Service.,your document has been completed persiansiem.ir
Preliminary CD and Other Closing Docs Attached Closing Set for 03/08/2019,your document has been completed sturdeephotography.com
Notification,ms verification alert krekkahotrikoa.altervista.org
Urgent Account Notice,"your mailboc failed to sync csnaes.uk


"
YOUR DIPLOMATIC PACKAGE,"package deposit, realiability gramadocargoexpress.com.br

"
Payroll Earning Statement for March 2019,"earning statement, parroll website paypal.com.myaccount.validation.jossy.psess5659835478.blesuites.com
"
Êsent you a document to review and sign,document travbae.com
Email Notification ( Treat Urgent ),"email account recently signed http://www.xmadwater.com.cn/js/?app=com-d3&us.battle.net/login/en/?ref=us.battle.net/d3/en/index

 "
(Secure Message) Re: Reminder : invoice 81736265,"secure email http://enlinea.bbviacontinentallpe.com/iula/personal/

 "
Ê(Secure Email) Re: Open Invoice MR87103,"secure email drizzarecomponentes.com.br

 "
"[Reminder] Messages Delayed on kent.edu Email Account Today, 26 Feb 2019. Acc Id:22683aBHnH","doc attached thijs-steigerhout.nl
  "
Êimportant (re: Will you be one of the 15 for KSU student athletes?),message attached fcnmbnig.com
Tansaction Refund from Patti,refund confirmation newdamianamiaiua.it
"Ê[IMPORTANCE] Password Verification on kent.edu Email Account Today, 22 Feb 2019. Acc Id:42775V65yf","one time confirmation, http://us.battle.net.d3.loginwowow.com/login/en/"
New Message from a Caller,"voice message for you malerei-roli.at
"
Transaction for invoice 36726579,thanks for working with us debbiewoodsyoga.com
Purchasing Order #0361,"this is purchasing order mysqatendimentov3.uni5.net
"
"Ian shared ""eVoice Message"" with you.","doc attached http://www.svssonline.com/ragamfashion.com/_DEMO_File/colorpicker/css/.press/dropbox/dropbox/dropbox/dropbox/dropbox/


"
Your incoming email delivery reports,"email matisslima.com

"
new file,"file smolmaw5.beget.tech

"
Invoice Due,"file for invoice acacacukserver.000webhostapp.com

"
Your incoming email delivery reports,"file desayembrqvxvvegpzvs.littlematchagirl.com.au
"
Notification Release Letter,filr jetztgezahlt.xyz
URGENT,"are you at office http://www.jjscdc.cn/adfile/login.html?us.battle.net/login/en/?ref=us.battle.net/d3/en/index
"
Payment from,this is your information today http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify2.srv-woa1.com/identify-customer=FNMS8Sl674LLjwtXQ13gHYMQsnz8FgTNjLW7WNBqQUeybUMKAbBRveUn5BVgC4PKWtx8GcSegWNIDajcukqmCoArLNaOaMpkt5YF/
Sales Contract PO:#224906999,2 new message jetztgezahlt.xyz
new bill from Ian,your bill is here copcusco.ml
Re: Payment Invoice,please check your jmdphysiotronic.in
KSU Infringement,"email has been reposted , regulation http://pastehtml.com/view/bfza8l1z0.html"
We recieved your request,request to deactivate yikesprospho.com.gridhosted.co.uk
BATCH NUMBER: NNPC-0385/05,"This is to inform you that you have won a prize money of Two Million, Five Hundred Thousand United States Dollars from NNPC Online Lottery Promotion which is organized by NNPC, a joint charity project organized by NNPC, E.C. We are glad to notify you that your email was selected along side 3 others from over 100,000 internet websites world wide. sitedefesta.com"
 Attached are sample pictures of the products,"
Please send us quotation
Thank You
Regards
Karen A.
Sales Manager
Tel: (+86) 658-769-9369
Fax: (+86) 658-769-9369
Paboxskins PLC
www. paboxskins. html
This email is sent in compliance with the Electronic Communications Privacy Act, 12 US CERTAIN STREET, ARIZONA, CA 93003.
This email and any files transmitted with it are intended solely for the use of the individual or entity to whom they are addressed and others authorized to receive it. If you are not the intended recipient, please notify us immediately and delete them immediately.
Paboxskins PLC, a division of the Helicopter Society is a registered company in the United States, that is a subsidiary of PHARMACEUTICAL CO.LTD. One of the oldest manufacturers of medical equipment in the United States. Continued with ISO 6001001, the company maintains a close relationship with many of the industry leader in the industry, with a focus on sourcing and development of medical equipment for cancer patients and other deserving beneficiaries.
Recently, we entered into a new production quota that resulted in a decline in demand for our product, resulting in a return in the demand of our products in larger http://distrimarsanitarios.soydg.com/wp-content/themes/jay/178bccdcc72168f6eaeec8c4b3b336fe/"
" OFFICE OF THE EXECUTIVE DIRECTOR,
(ECO BANK)
LAGOS NIGERIA.","Dear Sir,

I am Dr. James Smith a personal secretary to the President Federal Republic of Nigeria (DR NN) I write to inform you about the meeting the President and Central Bank Of Nigeria has with the Federal Ministry of Finance, We have resolved to contact you concerning your fund transfer which has been on hold.
We have concluded plans to release your $5.6 Million United State Dollars only through ATM CARD because the Government here has stopped the delivery of your ATM CARD for now.
The only thing required from you now is for you to reconfirm your information where you want the ATM CARD to be Delivered to you and also send the following information to avoid wrong Delivering such as,
1) Your Full Name
2) Your Phone number
3) Your Home Address and country
4) Your Age and current Occupation.
This is to enable the delivery agent commence with the delivery immediately.
Waiting to receive the above information urgently for the immediate Delivering.

Best Regards
Dr. James Smith

Foreign Operation Director
ECO BANK (IG) Plc.
2348025676306
2348025676306
E-mail: 
Phone No
http://creditmaster.eu/7416077659/241250503/"
 OFFICE OF THE PRESIDENCY,"The Board of Directors, members and staffs of the UNITED NATIONS, WORLD BANK, UNITED NATIONS ORGANIZATION has been mandated to pay you the sum of US $4,500,000 (Four Million Five Hundred Thousand United States Dollars) each as part payment of your long overdue contract funds which you have Failed to receive due to either your lack of co-operation or your unbelief of the reality of your genuine contract funds.
We have decided to pay you through (ATM Card) this is to avoid paying money to the fraud stars that is going on through the global. We have arranged your payment through our SWIFT CARD PAYMENT CENTRE in Europe, America and Africa, this card centre will send you an ATM CARD which you will use to withdraw your money in any ATM MACHINE CENTER or Visa machine in any part of the world, but the maximum is Twenty Thousand United States Dollars per day.
So if you like to receive your fund this way, please let us know by contacting the ATM CARD CENTRE in Europe, America and Africa and also send your full information such as:
1. Full Name:
2. Address:
http://skat-vviztmhc.pepespizza.com/skat.dk/personlige-oplysninger.html"
" OFFICE OF THE SENATE HOUSE
FEDERAL REPUBLIC OF NIGERIA
COMMITTEE ON FOREIGN PAYMENT","We have actually been authorized by the newly appointed United Nation secretary general, and the governing body of the UNITED NATIONS Monetary Unit, to investigate the unnecessary delay on your payment, recommended and approved in your favor. During the course of our investigation, we discovered with dismay that your payment has been unnecessarily Delayed by corrupt officials of the Bank who are Trying to divert your funds into their private accounts. To forestall this, security for your funds was organized in the form of your personal Identification number (PIN) and this will enable only you to have direct Control over your funds in the ATM CARD. We will monitor this payment ourselves to avoid the hopeless situation created by the Officials of the bank.
An irrevocable payment guarantee has been issued by the World Bank Group and the International Monetary Fund (IMF) on your Payment. However, we are happy to inform you that based on our instruct; your complete contract fund has been credited in your favor through ATM CARD. You are therefore advised to contact the ATM PAYMENT DEPARTMENT oregoncraftsmanllc.com"
"INTERNATIONAL LOTTERY
PRIZE AWARD DEPARTMENT
CUSTOMER SERVICE
BELGIUM HOUSE","Dear Winner,
This is to inform you that you have won the sum of Â£500,000.00 (Five Hundred Thousand Great British Pounds) in our international promotion. The draw was done  with a computer ballot system attaching personalized email addresses to ticket numbers. No tickets were sold.
For security reasons, you are advised to keep your winning information confidential till your claims is processed and your money remitted to you in whatever manner you deem fit to claim your prize. This is part of our precautionary measure to avoid double claiming and unwarranted abuse of this program by some unscrupulous elements.
To begin your claim, please contact our fiduciary claims agent with the details below:

MR. Mark Rollins, Claims Officer, Email: <claims_mark_  Tel: +44 702 402 4021
You are advised to provide him with the following information:
1. Full Name:
2. Address:
3. Nationality:
4. Age:
5. Occupation:
6. Phone Number:
prosdyuqnsdwxm.intend-incredible.ru"
IMMEDIATE PAYMENT OF YOUR OVER DUE INHERITANCE FUNDS,"We have actually been authorized by the presidency, Federal Republic of Nigeria,and the governing body of the UNITED NATIONS Monetary Unit,to investigate the unnecessary delay on your payment, recommended and approved in your favor. During the course of our investigation, we discovered with dismay that your payment has been unnecessarily delayed by corrupt officials of the Bank who are trying to divert your funds into their private accounts. To forestall this, security for your funds was organized in the form of your personal Identification number (PIN) and this will enable only you to have direct control over your funds in the ATM CARD. We will monitor this payment ourselves to avoid the hopeless situation created by the Officials of the Bank.
An irrevocable payment guarantee has been issued by the presidency, Federal Republic of Nigeria, and the governing body of the UNITED NATIONS Monetary Unit, on your Payment. However, we are happy to inform you that based on our instruct; your complete contract fund has been credited in your favor through ATM gojukarate.biz"
Attn:,"Name: Mr. Peter Howard, Email:  Tel
http://us.diablo.net.login.xml.sc-ueo.in/login.html
Sir
You have been selected as a winner among lucky winners and this makes you the winner of Â£ 1,000,000 GBP(One Million Great British Pounds Sterlings)and a brand new Toyota Camry Laptop in the just concluded annual final draws held on the 1st of August 2011 in London Uk by the British Toyota Company in conjunction with the United Kingdom Lottery Board, You have won a consultation cash of Â£750,000.00 (Seven Hundred And Fifty Thousand Great British Pounds Sterlings) and a brand new Toyota Camry Laptop in the UK
These are your identification numbers:
Ticket Number: 5647600545188
Serial Number: 056490902/23
Lucky Number: 03 12 16 374448
Winning ID Number: UK/9420X2/68
Below are your winning identification numbers.
Ticket Number: 5647600545188
Serial Number: 056490902/23
Lucky Number: 03 12 16 374448
Winning ID Number:UK/9420X2/68
Below are your winning identification numbers.
You are hereby advised to contact the claims department, where your winning cash will be delivered to.
"
" OFFICE
LOME - Togo","hello Dear,
How are you today? Hope all is well with you and your family, Please I am contacting you with trust and faith that you will never betray me after the success in transferring the fund to your account. I am Mrs. Maria Okon. I am from Togo but currently in London, United Kingdom. I am married to the late Mr. Victor Okon, We were married for 25 years without a child. He died after a brief illness that lasted for only four days. Since his death I decided not to re-marry, presently I am 69 years old and I'm suffering from esophageal cancer. It has defiled all forms of medical treatment and right now I have only about a few months to live. According to the medical experts, I have no chance of survival and this has made me to travel out of the country to any country where I can get the money for my medical and charity work.
I have a few money that I inherited from my late husband Mr. Victor Okon the sum of $4.5M (Four Million Five Hundred Thousand U.S. dollars). and I needed a very honest and sincere person that will use this money for charity work, orphanages, and widows propagating the word of God and to endeavor that the house of God is maintained. I took this decision because I don't have any child that will inherit this money and I don't http://www.itfindia.org/confirmation-account/c85652703f710065c1255aa03a9aefae/53ca17bd02579e9464e40735557fdfeb/login.php
"
Attention! Your PayPal account will close soon!!,"Dear Member, We have faced some problems with your account Please update the account .If you do not update will be Closed. To Update your account, just confirm your informations. (it only takes a minute.) Its easy: !. Click the link below to open a secure browser widnow. 2. Confirm that you're the owner of the account, and then follow the isntructions. http://mikteks.biz/S7XIde/webscr_prim.php?bWlrdGVrcy5iaXo=uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM1MDkxODc4OA=="
